 datData; strNomePraca; strCodigoCategoria; numMesReferencia; numAnoReferencia; numValorArrecadado; numQuantidadeVeiculos
01/01/2013; PRAIA DO SOL; CAT1; 1; 2013; 163030.00; 23975 
01/01/2013; PRAIA DO SOL; CAT2; 1; 2013; 2978.40; 219 
01/01/2013; PRAIA DO SOL; CAT3; 1; 2013; 1030.20; 101 
01/01/2013; PRAIA DO SOL; CAT4; 1; 2013; 1999.20; 98 
01/01/2013; PRAIA DO SOL; CAT5; 1; 2013; 190.40; 14 
01/01/2013; PRAIA DO SOL; CAT6; 1; 2013; 190.40; 7 
01/01/2013; PRAIA DO SOL; CAT7; 1; 2013; 102.00; 3 
01/01/2013; PRAIA DO SOL; CAT8; 1; 2013; 285.60; 7 
01/01/2013; PRAIA DO SOL; CAT88; 1; 2013; 0.00; 77 
01/01/2013; PRAIA DO SOL; CAT9; 1; 2013; 3104.20; 913 
01/01/2013; TERCEIRA PONTE; CAT1; 1; 2013; 87145.20; 48414 
01/01/2013; TERCEIRA PONTE; CAT2; 1; 2013; 3114.00; 865 
01/01/2013; TERCEIRA PONTE; CAT3; 1; 2013; 89.10; 33 
01/01/2013; TERCEIRA PONTE; CAT4; 1; 2013; 70.20; 13 
01/01/2013; TERCEIRA PONTE; CAT5; 1; 2013; 18.00; 5 
01/01/2013; TERCEIRA PONTE; CAT6; 1; 2013; 21.60; 3 
01/01/2013; TERCEIRA PONTE; CAT7; 1; 2013; 0.00; 0 
01/01/2013; TERCEIRA PONTE; CAT8; 1; 2013; 0.00; 0 
01/01/2013; TERCEIRA PONTE; CAT88; 1; 2013; 0.00; 68 
01/01/2013; TERCEIRA PONTE; CAT9; 1; 2013; 2011.50; 2235 
01/02/2013; PRAIA DO SOL; CAT1; 2; 2013; 84110.40; 11682 
01/02/2013; PRAIA DO SOL; CAT2; 2; 2013; 7027.20; 488 
01/02/2013; PRAIA DO SOL; CAT3; 2; 2013; 388.80; 36 
01/02/2013; PRAIA DO SOL; CAT4; 2; 2013; 3672.00; 170 
01/02/2013; PRAIA DO SOL; CAT5; 2; 2013; 14.40; 1 
01/02/2013; PRAIA DO SOL; CAT6; 2; 2013; 1094.40; 38 
01/02/2013; PRAIA DO SOL; CAT7; 2; 2013; 1224.00; 34 
01/02/2013; PRAIA DO SOL; CAT8; 2; 2013; 1252.80; 29 
01/02/2013; PRAIA DO SOL; CAT88; 2; 2013; 0.00; 295 
01/02/2013; PRAIA DO SOL; CAT9; 2; 2013; 2185.20; 607 
01/02/2013; TERCEIRA PONTE; CAT1; 2; 2013; 152936.70; 80493 
01/02/2013; TERCEIRA PONTE; CAT2; 2; 2013; 3002.00; 790 
01/02/2013; TERCEIRA PONTE; CAT3; 2; 2013; 151.05; 53 
01/02/2013; TERCEIRA PONTE; CAT4; 2; 2013; 102.60; 18 
01/02/2013; TERCEIRA PONTE; CAT5; 2; 2013; 11.40; 3 
01/02/2013; TERCEIRA PONTE; CAT6; 2; 2013; 0.00; 0 
01/02/2013; TERCEIRA PONTE; CAT7; 2; 2013; 0.00; 0 
01/02/2013; TERCEIRA PONTE; CAT8; 2; 2013; 0.00; 0 
01/02/2013; TERCEIRA PONTE; CAT88; 2; 2013; 0.00; 295 
01/02/2013; TERCEIRA PONTE; CAT9; 2; 2013; 8093.05; 8519 
01/03/2013; PRAIA DO SOL; CAT1; 3; 2013; 71035.20; 9866 
01/03/2013; PRAIA DO SOL; CAT2; 3; 2013; 6652.80; 462 
01/03/2013; PRAIA DO SOL; CAT3; 3; 2013; 324.00; 30 
01/03/2013; PRAIA DO SOL; CAT4; 3; 2013; 3456.00; 160 
01/03/2013; PRAIA DO SOL; CAT5; 3; 2013; 43.20; 3 
