data;praca;categoria_1;categoria_2;categoria_3;categoria_4;categoria_5;categoria_6;categoria_7;categoria_8;categoria_88;categoria_9;veiculosDia;valorDia;Id
01/01/2018 00:00:00;PRAIA DO SOL;22271;182;60;90;3;7;1;3;292;845;23754;211269,9000;30591
02/01/2018 00:00:00;PRAIA DO SOL;18841;310;71;158;9;15;14;13;338;807;20576;186066,0000;30592
03/01/2018 00:00:00;PRAIA DO SOL;15721;391;70;151;4;37;18;16;397;753;17558;160069,5000;30593
04/01/2018 00:00:00;PRAIA DO SOL;15361;391;52;146;3;28;18;16;396;595;17006;155398,5000;30594
05/01/2018 00:00:00;PRAIA DO SOL;19580;482;71;171;2;39;18;15;361;866;21605;197563,5000;30595
06/01/2018 00:00:00;PRAIA DO SOL;21030;315;61;122;12;11;7;5;314;1035;22912;204912,0000;30596
07/01/2018 00:00:00;PRAIA DO SOL;23877;209;69;101;4;13;5;3;265;1150;25696;228415,5000;30597
08/01/2018 00:00:00;PRAIA DO SOL;15518;343;54;138;4;37;15;16;348;796;17269;157086,0000;30598
09/01/2018 00:00:00;PRAIA DO SOL;13569;412;54;117;11;43;15;23;432;724;15400;140427,0000;30599
10/01/2018 00:00:00;PRAIA DO SOL;13246;402;36;139;6;40;13;18;437;722;15059;137124,0000;30600
11/01/2018 00:00:00;PRAIA DO SOL;13734;415;55;123;2;32;11;19;428;816;15635;141655,5000;30601
12/01/2018 00:00:00;PRAIA DO SOL;19828;432;72;172;3;38;29;19;411;903;21907;199768,5000;30602
13/01/2018 00:00:00;PRAIA DO SOL;21211;325;67;128;3;22;6;3;321;1071;23157;207315,0000;30603
14/01/2018 00:00:00;PRAIA DO SOL;24962;240;83;98;4;11;2;3;299;1124;26826;238522,5000;30604
15/01/2018 00:00:00;PRAIA DO SOL;15817;360;40;146;0;38;12;18;388;799;17618;159943,5000;30605
16/01/2018 00:00:00;PRAIA DO SOL;12325;421;42;136;8;43;26;13;437;746;14197;129861,0000;30606
17/01/2018 00:00:00;PRAIA DO SOL;12641;394;51;162;8;36;15;18;443;724;14492;132439,5000;30607
18/01/2018 00:00:00;PRAIA DO SOL;13581;450;61;140;2;42;18;18;421;792;15525;142006,5000;30608
19/01/2018 00:00:00;PRAIA DO SOL;18439;431;76;177;8;42;18;21;420;873;20505;187429,5000;30609
20/01/2018 00:00:00;PRAIA DO SOL;20217;274;81;111;2;25;5;6;296;984;22001;196888,5000;30610
21/01/2018 00:00:00;PRAIA DO SOL;23330;211;71;102;7;19;7;1;339;948;25035;222925,5000;30611
22/01/2018 00:00:00;PRAIA DO SOL;14374;353;45;133;2;35;16;19;406;814;16197;146848,5000;30612
23/01/2018 00:00:00;PRAIA DO SOL;11788;396;48;132;4;32;15;14;392;729;13550;123583,5000;30613
24/01/2018 00:00:00;PRAIA DO SOL;11991;405;50;158;5;44;22;30;465;813;13983;128317,5000;30614
25/01/2018 00:00:00;PRAIA DO SOL;12807;416;44;145;6;29;19;26;419;788;14699;134325,0000;30615
26/01/2018 00:00:00;PRAIA DO SOL;17221;423;66;140;5;29;27;22;431;835;19199;174748,5000;30616
27/01/2018 00:00:00;PRAIA DO SOL;18210;257;68;109;6;16;9;3;285;966;19929;178002,0000;30617
28/01/2018 00:00:00;PRAIA DO SOL;21532;183;80;88;5;16;3;4;298;889;23098;205582,5000;30618
29/01/2018 00:00:00;PRAIA DO SOL;12708;383;55;149;3;40;23;15;421;737;14534;132768,0000;30619
30/01/2018 00:00:00;PRAIA DO SOL;10379;378;38;141;4;48;21;22;420;517;11968;111145,5000;30620
31/01/2018 00:00:00;PRAIA DO SOL;9555;386;36;124;5;46;25;22;412;444;11055;103059,0000;30621
01/01/2018 00:00:00;TERCEIRA PONTE;51269;144;67;22;4;0;0;0;662;2245;54413;52854,0000;30622
02/01/2018 00:00:00;TERCEIRA PONTE;74863;364;105;20;9;2;0;0;1231;8216;84810;79942,5000;30623
03/01/2018 00:00:00;TERCEIRA PONTE;77782;437;85;1;10;0;0;0;1347;9330;88992;83471,5000;30624
04/01/2018 00:00:00;TERCEIRA PONTE;79334;425;83;10;8;2;0;1;1457;8669;89989;84703,0000;30625
05/01/2018 00:00:00;TERCEIRA PONTE;81589;567;101;9;8;0;0;0;1301;9733;93308;87784,0000;30626
06/01/2018 00:00:00;TERCEIRA PONTE;65103;307;126;10;12;1;0;0;778;5178;71515;68553,0000;30627
07/01/2018 00:00:00;TERCEIRA PONTE;56493;199;79;18;10;0;0;0;644;3575;61018;58871,0000;30628
08/01/2018 00:00:00;TERCEIRA PONTE;79059;453;82;8;4;4;0;0;1384;10081;91075;85176,5000;30629
09/01/2018 00:00:00;TERCEIRA PONTE;80747;490;77;12;10;3;0;0;1452;10150;92941;86985,5000;30630
10/01/2018 00:00:00;TERCEIRA PONTE;81957;514;131;15;12;1;0;0;1637;10108;94375;88308,5000;30631
11/01/2018 00:00:00;TERCEIRA PONTE;82905;477;85;10;12;3;0;0;1610;9726;94828;88915,5000;30632
12/01/2018 00:00:00;TERCEIRA PONTE;83008;521;100;23;11;0;0;0;1608;10382;95653;89482,0000;30633
13/01/2018 00:00:00;TERCEIRA PONTE;67313;345;131;14;6;2;0;0;1023;5519;74353;71021,0000;30634
14/01/2018 00:00:00;TERCEIRA PONTE;56445;251;98;22;6;2;0;0;751;3880;61455;59120,0000;30635
15/01/2018 00:00:00;TERCEIRA PONTE;78019;511;103;18;6;0;0;0;1609;10008;90274;84265,5000;30636
16/01/2018 00:00:00;TERCEIRA PONTE;79208;453;115;22;7;0;0;0;1626;10291;91722;85512,0000;30637
17/01/2018 00:00:00;TERCEIRA PONTE;80296;496;112;13;7;1;0;0;1549;10388;92862;86707,0000;30638
18/01/2018 00:00:00;TERCEIRA PONTE;80264;518;109;14;8;1;0;0;1627;10456;92997;86753,5000;30639
19/01/2018 00:00:00;TERCEIRA PONTE;82405;516;126;24;14;4;0;0;1613;10536;95238;89010,0000;30640
20/01/2018 00:00:00;TERCEIRA PONTE;66678;313;123;19;7;0;0;0;1043;5586;73769;70352,5000;30641
21/01/2018 00:00:00;TERCEIRA PONTE;57120;203;107;39;10;0;0;0;789;3838;62106;59742,5000;30642
22/01/2018 00:00:00;TERCEIRA PONTE;78431;420;84;26;12;3;0;0;1635;9913;90524;84467,5000;30643
23/01/2018 00:00:00;TERCEIRA PONTE;79451;468;92;20;8;2;0;0;1675;10354;92070;85786,0000;30644
24/01/2018 00:00:00;TERCEIRA PONTE;78650;455;112;18;9;4;0;0;1561;10266;91075;84949,0000;30645
25/01/2018 00:00:00;TERCEIRA PONTE;81711;462;118;7;11;1;0;0;1544;10612;94466;88165,0000;30646
26/01/2018 00:00:00;TERCEIRA PONTE;85082;486;128;14;9;2;0;0;1672;10695;98088;91661,5000;30647
27/01/2018 00:00:00;TERCEIRA PONTE;65171;256;138;12;11;1;0;0;1008;5388;71985;68646,0000;30648
28/01/2018 00:00:00;TERCEIRA PONTE;56649;165;85;26;5;2;0;0;820;3568;61320;58986,5000;30649
29/01/2018 00:00:00;TERCEIRA PONTE;79531;457;92;12;4;2;0;0;1663;10240;92001;85755,0000;30650
30/01/2018 00:00:00;TERCEIRA PONTE;80009;421;93;17;9;1;0;0;1594;9123;91267;85625,0000;30651
31/01/2018 00:00:00;TERCEIRA PONTE;81846;461;80;10;8;1;0;0;1635;8392;92433;87134,0000;30652
01/02/2018 00:00:00;PRAIA DO SOL;9380;361;41;119;7;67;34;26;407;507;10949;102843,0000;30681
02/02/2018 00:00:00;PRAIA DO SOL;11379;401;45;117;8;35;13;18;399;568;12983;119182,5000;30682
03/02/2018 00:00:00;PRAIA DO SOL;10953;246;65;83;7;24;5;5;306;621;12315;110484,0000;30683
04/02/2018 00:00:00;PRAIA DO SOL;10449;150;43;68;4;12;4;1;276;225;11232;100935,0000;30684
05/02/2018 00:00:00;PRAIA DO SOL;8560;339;28;120;4;45;17;21;400;462;9996;92628,0000;30685
06/02/2018 00:00:00;PRAIA DO SOL;8178;367;31;102;2;45;19;22;427;427;9620;89253,0000;30686
07/02/2018 00:00:00;PRAIA DO SOL;8794;425;46;115;6;42;21;18;459;554;10480;96732,0000;30687
08/02/2018 00:00:00;PRAIA DO SOL;10549;434;71;144;2;51;25;24;439;636;12375;115159,5000;30688
09/02/2018 00:00:00;PRAIA DO SOL;18928;505;160;187;7;53;29;26;416;810;21121;195309,0000;30689
10/02/2018 00:00:00;PRAIA DO SOL;18648;243;111;156;5;19;10;20;351;1008;20571;184756,5000;30690
11/02/2018 00:00:00;PRAIA DO SOL;16491;152;37;74;4;11;6;8;306;899;17988;158868,0000;30691
12/02/2018 00:00:00;PRAIA DO SOL;19728;198;51;66;0;19;3;15;368;1089;21537;190161,0000;30692
13/02/2018 00:00:00;PRAIA DO SOL;21242;196;60;84;3;15;2;6;336;1029;22973;203422,5000;30693
14/02/2018 00:00:00;PRAIA DO SOL;20342;350;198;153;5;43;10;9;313;873;22296;202882,5000;30694
15/02/2018 00:00:00;PRAIA DO SOL;11720;389;61;126;4;45;16;17;468;714;13560;123385,5000;30695
16/02/2018 00:00:00;PRAIA DO SOL;11946;409;56;122;4;38;27;20;448;813;13883;126418,5000;30696
17/02/2018 00:00:00;PRAIA DO SOL;12175;226;78;97;3;18;8;6;301;748;13660;122175,0000;30697
18/02/2018 00:00:00;PRAIA DO SOL;13691;167;69;89;6;16;4;6;260;748;15056;134113,5000;30698
19/02/2018 00:00:00;PRAIA DO SOL;8838;337;36;117;4;45;16;22;353;679;10447;96151,5000;30699
20/02/2018 00:00:00;PRAIA DO SOL;8166;369;31;108;3;39;22;20;420;654;9832;90256,5000;30700
21/02/2018 00:00:00;PRAIA DO SOL;7861;363;28;97;7;38;20;23;362;748;9547;87471,0000;30701
22/02/2018 00:00:00;PRAIA DO SOL;8314;381;30;120;0;48;20;21;402;619;9955;92029,5000;30702
23/02/2018 00:00:00;PRAIA DO SOL;10195;388;40;103;6;50;35;20;426;699;11962;109948,5000;30703
24/02/2018 00:00:00;PRAIA DO SOL;10167;243;36;74;3;19;7;5;254;639;11447;102658,5000;30704
25/02/2018 00:00:00;PRAIA DO SOL;10703;134;37;69;6;16;7;5;253;591;11821;105030,0000;30705
26/02/2018 00:00:00;PRAIA DO SOL;8082;340;36;99;2;38;22;19;388;672;9698;88560,0000;30706
27/02/2018 00:00:00;PRAIA DO SOL;7724;351;28;112;4;38;17;21;405;631;9331;85594,5000;30707
28/02/2018 00:00:00;PRAIA DO SOL;7992;431;34;114;3;33;22;21;386;731;9767;90058,5000;30708
